Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	0	28913	28602	27786	27177	26973	26908	26849	26785	26713	26657	26627	26616	26591	26496	26327	26126	25924	25732	25556	25403	25273	25175	25112	25080	25064	25064
1	1	29337	29099	28754	27937	27330	27126	27064	27006	26941	26869	26814	26784	26774	26749	26653	26484	26283	26080	25888	25713	25559	25429	25330	25268	25236	25220
1	2	30424	29483	29208	28863	28047	27442	27239	27179	27120	27055	26983	26927	26897	26888	26863	26767	26598	26396	26192	26000	25825	25671	25541	25442	25380	25348
1	3	31184	30531	29556	29282	28938	28124	27519	27318	27258	27199	27133	27062	27005	26975	26967	26941	26846	26676	26475	26270	26077	25903	25750	25620	25521	25457
1	4	29656	31269	30586	29614	29340	28998	28184	27581	27379	27320	27261	27195	27124	27067	27036	27028	27003	26908	26738	26537	26331	26139	25964	25811	25681	25582
1	5	30352	29735	31321	30640	29670	29397	29056	28242	27639	27438	27378	27319	27253	27181	27124	27093	27086	27061	26967	26795	26595	26388	26195	26021	25866	25736
1	6	30378	30425	29784	31371	30692	29724	29450	29110	28295	27693	27491	27431	27372	27305	27233	27175	27145	27138	27113	27020	26848	26647	26439	26248	26073	25918
1	7	29262	30442	30471	29831	31417	30743	29773	29500	29159	28345	27741	27539	27479	27419	27351	27281	27222	27193	27186	27161	27067	26895	26695	26488	26297	26121
1	8	28610	29314	30478	30509	29868	31456	30782	29813	29540	29199	28384	27779	27577	27516	27456	27389	27319	27260	27231	27225	27200	27106	26934	26734	26527	26337
1	9	28635	28657	29345	30511	30543	29903	31491	30819	29848	29575	29234	28418	27815	27612	27550	27492	27425	27354	27296	27267	27261	27236	27142	26970	26770	26563
1	10	28184	28687	28694	29383	30551	30585	29945	31534	30862	29890	29617	29276	28460	27856	27653	27592	27533	27466	27396	27337	27308	27301	27276	27183	27012	26811
1	11	27029	28239	28726	28734	29425	30594	30630	29990	31580	30907	29935	29661	29320	28505	27900	27697	27636	27577	27510	27440	27381	27352	27345	27320	27227	27056
1	12	26889	27070	28264	28753	28762	29454	30624	30662	30021	31612	30940	29966	29691	29351	28536	27931	27728	27667	27607	27541	27471	27411	27383	27376	27351	27259
1	13	27929	26934	27099	28293	28783	28793	29485	30657	30694	30053	31646	30975	29999	29724	29385	28569	27964	27761	27701	27641	27575	27503	27443	27417	27410	27385
1	14	29027	27987	26975	27142	28336	28828	28838	29531	30703	30740	30099	31692	31022	30046	29771	29432	28616	28011	27807	27748	27688	27621	27549	27489	27462	27455
1	15	30060	29083	28025	27015	27182	28377	28870	28880	29573	30746	30782	30141	31735	31064	30091	29814	29476	28659	28054	27850	27792	27731	27664	27592	27532	27505
1	16	30657	30124	29128	28072	27063	27231	28427	28920	28930	29623	30796	30833	30192	31785	31116	30143	29865	29527	28710	28106	27901	27843	27781	27715	27644	27584
1	17	31830	30769	30212	29217	28162	27153	27322	28518	29012	29022	29716	30889	30929	30288	31881	31213	30239	29960	29623	28805	28200	27994	27936	27874	27807	27737
1	18	32612	32192	31085	30522	29528	28470	27458	27624	28821	29321	29333	30028	31206	31251	30611	32203	31541	30562	30280	29942	29122	28512	28305	28246	28184	28117
1	19	33734	33377	32874	31761	31193	30193	29127	28107	28267	29468	29981	29996	30695	31884	31937	31296	32889	32236	31248	30957	30617	29791	29175	28963	28901	28839
1	20	35028	34624	34158	33652	32538	31964	30959	29883	28852	29008	30218	30740	30758	31463	32665	32724	32078	33678	33028	32030	31733	31391	30558	29935	29718	29654
1	21	35258	35773	35249	34786	34283	33166	32593	31586	30503	29467	29621	30836	31363	31383	32092	33300	33364	32714	34319	33670	32667	32367	32026	31186	30558	30340
1	22	37784	35923	36300	35782	35325	34824	33711	33140	32131	31046	30008	30161	31378	31908	31929	32639	33850	33918	33266	34874	34226	33221	32919	32578	31735	31106
1	23	38453	38321	36306	36692	36180	35730	35236	34128	33560	32551	31470	30433	30588	31806	32334	32353	33065	34276	34343	33690	35301	34650	33645	33346	33004	32161
1	24	36695	38728	38440	36438	36837	36331	35891	35405	34302	33739	32733	31659	30629	30786	32000	32525	32542	33252	34459	34522	33871	35479	34826	33825	33530	33190
1	25	36179	36849	38737	38455	36469	36874	36377	35946	35464	34365	33806	32804	31737	30712	30871	32080	32601	32618	33326	34528	34591	33940	35544	34890	33895	33601
1	26	36253	36333	36878	38765	38490	36515	36929	36438	36010	35531	34435	33879	32880	31816	30796	30957	32163	32682	32697	33405	34603	34666	34015	35618	34962	33970
1	27	34898	36406	36372	36919	38812	38542	36578	36997	36508	36082	35603	34512	33958	32963	31901	30885	31044	32251	32767	32782	33488	34684	34748	34097	35698	35040
1	28	34875	35035	36441	36410	36965	38860	38593	36639	37060	36571	36147	35668	34580	34030	33036	31976	30962	31124	32328	32843	32857	33563	34759	34821	34172	35770
1	29	34277	34973	35045	36453	36428	36988	38884	38623	36672	37094	36607	36184	35705	34620	34071	33079	32022	31010	31172	32375	32890	32903	33609	34804	34866	34216
1	30	33152	34377	34992	35066	36479	36458	37021	38920	38658	36712	37134	36649	36226	35749	34667	34118	33129	32074	31062	31225	32428	32942	32956	33661	34854	34916
1	31	33589	33248	34400	35018	35098	36512	36495	37062	38958	38697	36756	37177	36692	36271	35795	34715	34167	33179	32126	31117	31280	32480	32995	33009	33713	34906
1	32	33800	33650	33249	34402	35023	35107	36521	36508	37075	38968	38709	36769	37192	36707	36288	35812	34735	34187	33201	32150	31143	31305	32505	33020	33034	33738
1	33	33945	33871	33667	33270	34425	35048	35135	36549	36539	37104	38996	38739	36803	37223	36741	36323	35847	34771	34224	33240	32191	31184	31345	32545	33060	33076
1	34	33300	34016	33894	33693	33299	34456	35080	35172	36584	36576	37141	39030	38775	36842	37260	36780	36363	35888	34812	34265	33283	32234	31229	31390	32590	33105
1	35	32397	33347	34022	33904	33706	33313	34471	35099	35192	36601	36596	37159	39046	38795	36863	37280	36801	36385	35910	34836	34289	33309	32261	31256	31417	32617
1	36	29842	32443	33358	34034	33919	33724	33335	34493	35121	35215	36623	36619	37182	39069	38819	36889	37305	36827	36412	35937	34864	34317	33339	32291	31288	31448
1	37	29753	29884	32451	33367	34047	33933	33741	33355	34511	35140	35234	36640	36640	37203	39088	38843	36913	37328	36851	36435	35962	34890	34344	33366	32319	31316
1	38	31344	29774	29878	32443	33362	34046	33933	33744	33356	34512	35142	35236	36642	36644	37208	39091	38848	36920	37334	36858	36442	35971	34899	34354	33377	32330
1	39	31368	31331	29742	29846	32410	33333	34015	33907	33719	33332	34486	35115	35211	36617	36619	37183	39065	38824	36899	37312	36837	36422	35952	34882	34338	33362
1	40	32149	31352	31292	29708	29814	32376	33300	33984	33877	33689	33303	34455	35086	35183	36587	36590	37154	39034	38797	36874	37288	36813	36400	35931	34862	34319
1	41	33967	32140	31325	31266	29686	29792	32352	33278	33964	33857	33671	33284	34436	35067	35164	36569	36574	37135	39016	38782	36863	37274	36801	36390	35921	34853
1	42	35725	33938	32100	31284	31227	29651	29757	32316	33242	33929	33823	33639	33254	34403	35035	35133	36537	36544	37106	38985	38754	36839	37247	36777	36366	35899
1	43	36863	35681	33885	32051	31237	31179	29609	29714	32271	33198	33885	33781	33599	33213	34362	34995	35094	36497	36507	37069	38946	38719	36807	37213	36746	36334
1	44	36585	36820	35632	33841	32010	31196	31141	29575	29678	32234	33162	33849	33747	33566	33181	34328	34962	35063	36466	36479	37042	38918	38693	36784	37190	36724
1	45	37998	36525	36753	35570	33784	31956	31144	31091	29528	29631	32184	33112	33800	33700	33519	33137	34283	34919	35021	36422	36438	37002	38878	38655	36749	37152
1	46	38731	37922	36446	36677	35498	33717	31893	31085	31032	29473	29575	32125	33054	33744	33645	33466	33085	34230	34867	34971	36370	36390	36953	38827	38608	36704
1	47	39506	38646	37838	36368	36599	35425	33649	31831	31025	30971	29416	29519	32066	32997	33687	33590	33411	33032	34177	34815	34920	36318	36342	36904	38776	38560
1	48	38983	39407	38550	37748	36281	36514	35345	33576	31762	30958	30906	29355	29458	32000	32933	33625	33529	33352	32974	34118	34757	34863	36261	36287	36849	38719
1	49	40584	38888	39312	38460	37662	36202	36438	35274	33509	31700	30899	30848	29299	29403	31942	32877	33570	33475	33300	32924	34067	34707	34815	36210	36238	36800
1	50	39732	40489	38803	39228	38381	37589	36136	36373	35214	33454	31650	30849	30800	29256	29359	31895	32832	33527	33434	33259	32885	34028	34669	34778	36173	36202
1	51	39875	39638	40398	38722	39147	38308	37521	36074	36312	35158	33403	31604	30803	30755	29215	29318	31852	32791	33487	33398	33224	32851	33993	34636	34746	36140
1	52	39351	39759	39530	40295	38628	39055	38223	37440	36000	36239	35092	33342	31547	30747	30701	29167	29270	31800	32742	33439	33351	33180	32808	33949	34593	34704
1	53	38243	39210	39627	39405	40173	38517	38945	38121	37343	35911	36151	35010	33266	31475	30678	30634	29106	29209	31734	32679	33376	33291	33122	32750	33890	34535
1	54	37187	38086	39063	39485	39269	40039	38396	38827	38008	37237	35812	36053	34919	33182	31397	30603	30561	29038	29141	31661	32609	33307	33224	33057	32686	33825
1	55	36592	37007	37916	38897	39323	39115	39887	38258	38690	37878	37113	35696	35939	34811	33083	31305	30515	30474	28958	29060	31576	32525	33222	33143	32977	32609
1	56	35552	36396	36827	37737	38721	39152	38952	39726	38109	38543	37739	36981	35572	35816	34696	32978	31206	30420	30379	28871	28973	31482	32433	33130	33053	32890
1	57	34895	35352	36208	36646	37558	38545	38981	38789	39564	37961	38396	37599	36849	35449	35693	34582	32871	31108	30326	30286	28785	28887	31389	32342	33040	32966
1	58	33754	34674	35149	36008	36450	37367	38356	38797	38612	39389	37798	38235	37448	36705	35313	35559	34456	32754	31000	30221	30184	28691	28793	31288	32241	32940
1	59	32194	33503	34440	34919	35781	36228	37147	38138	38583	38405	39184	37608	38046	37269	36532	35151	35398	34304	32614	30869	30094	30059	28575	28677	31164	32116
1	60	31896	31928	33250	34189	34674	35538	35990	36910	37902	38350	38182	38961	37400	37840	37072	36343	34975	35222	34139	32459	30725	29954	29921	28446	28548	31025
1	61	31236	31605	31665	32984	33924	34415	35282	35739	36660	37651	38105	37944	38723	37178	37620	36862	36142	34785	35033	33960	32292	30569	29803	29772	28307	28408
1	62	30105	30919	31313	31383	32698	33641	34136	35004	35466	36387	37378	37835	37683	38463	36934	37377	36630	35918	34574	34824	33761	32106	30395	29635	29606	28150
1	63	30290	29766	30602	31005	31084	32395	33340	33841	34709	35174	36096	37086	37547	37403	38184	36672	37116	36380	35677	34345	34597	33545	31905	30206	29452	29426
1	64	30600	29920	29435	30273	30683	30772	32078	33026	33530	34399	34868	35789	36778	37244	37109	37888	36396	36839	36115	35421	34102	34356	33316	31691	30005	29258
1	65	31190	30192	29558	29091	29929	30348	30446	31747	32695	33202	34072	34545	35464	36452	36922	36796	37575	36102	36544	35831	35148	33843	34099	33072	31462	29790
1	66	31986	30717	29773	29161	28713	29551	29976	30084	31379	32326	32836	33707	34182	35101	36085	36558	36442	37219	35767	36209	35508	34836	33546	33804	32790	31198
1	67	34396	31435	30234	29317	28728	28299	29138	29568	29685	30973	31918	32431	33299	33779	34695	35676	36152	36043	36819	35388	35832	35144	34483	33212	33469	32470
1	68	26017	33733	30883	29718	28832	28266	27855	28693	29128	29255	30534	31477	31990	32852	33335	34248	35225	35703	35602	36376	34970	35413	34739	34090	32838	33097
1	69	24005	25456	33073	30299	29171	28316	27773	27381	28217	28657	28794	30062	30998	31509	32367	32851	33760	34731	35212	35119	35890	34509	34953	34294	33658	32428
1	70	24560	23431	24902	32376	29679	28589	27767	27248	26878	27710	28154	28300	29554	30478	30991	31844	32330	33235	34199	34681	34597	35365	34012	34455	33812	33191
1	71	22961	23912	22865	24317	31638	29022	27972	27185	26692	26342	27170	27618	27770	29009	29925	30440	31288	31775	32674	33631	34113	34039	34802	33478	33921	33294
1	72	20722	22287	23270	22266	23698	30857	28325	27318	26564	26097	25768	26593	27043	27203	28429	29337	29853	30695	31182	32074	33023	33505	33440	34198	32904	33346
1	73	18871	20053	21629	22602	21642	23051	30040	27595	26631	25911	25470	25162	25981	26433	26603	27812	28712	29228	30064	30551	31434	32374	32855	32800	33550	32290
1	74	19059	18214	19413	20958	21918	21004	22388	29199	26843	25921	25237	24821	24535	25347	25801	25978	27172	28063	28577	29405	29891	30766	31695	32176	32131	32874
1	75	18503	18325	17572	18745	20255	21200	20333	21691	28314	26046	25168	24521	24131	23868	24672	25127	25311	26486	27367	27879	28699	29182	30046	30963	31442	31407
1	76	17736	17724	17618	16910	18055	19527	20457	19637	20966	27390	25216	24383	23771	23408	23166	23962	24416	24608	25762	26631	27141	27951	28431	29282	30185	30662
1	77	16146	16924	16982	16897	16234	17349	18782	19696	18923	20221	26439	24360	23571	22996	22660	22440	23225	23677	23876	25008	25864	26372	27170	27646	28483	29374
1	78	15326	15329	16142	16216	16152	15534	16617	18008	18902	18177	19442	25442	23461	22717	22180	21872	21674	22446	22896	23100	24208	25048	25552	26336	26808	27630
1	79	14229	14465	14541	15333	15422	15379	14806	15856	17200	18072	17397	18624	24395	22513	21818	21317	21038	20860	21618	22064	22274	23355	24178	24677	25444	25912
1	80	12878	13341	13641	13733	14502	14604	14583	14055	15067	16362	17210	16583	17771	23301	21522	20874	20412	20160	20003	20744	21186	21400	22452	23256	23746	24496
1	81	11713	11990	12503	12807	12914	13656	13770	13768	13285	14257	15502	16322	15744	16890	22168	20494	19895	19472	19247	19110	19832	20268	20486	21507	22289	22771
1	82	10938	10813	11149	11650	11955	12077	12790	12914	12930	12493	13423	14612	15404	14875	15975	20990	19424	18875	18489	18291	18175	18876	19304	19525	20512	21270
1	83	9747	10000	9967	10299	10785	11090	11223	11906	12039	12071	11678	12564	13695	14455	13975	15026	19767	18312	17812	17462	17291	17195	17873	18292	18514	19464
1	84	8348	8814	9127	9119	9445	9914	10216	10359	11008	11149	11196	10846	11686	12755	13482	13050	14048	18503	17160	16710	16397	16253	16176	16827	17236	17458
1	85	7278	7461	7958	8263	8277	8596	9046	9343	9493	10107	10253	10314	10006	10796	11802	12492	12108	13051	17208	15981	15578	15302	15183	15125	15748	16143
1	86	6022	6417	6653	7117	7411	7446	7755	8182	8473	8628	9204	9354	9427	9160	9897	10836	11488	11150	12035	15888	14776	14420	14180	14084	14044	14635
1	87	5219	5232	5645	5871	6300	6581	6633	6931	7333	7614	7772	8309	8461	8542	8315	8998	9868	10478	10186	11010	14553	13554	13244	13038	12964	12941
1	88	4448	4467	4540	4913	5126	5520	5786	5852	6135	6511	6780	6938	7435	7586	7674	7484	8113	8912	9478	9229	9989	13222	12333	12067	11894	11840
1	89	3623	3748	3821	3896	4229	4429	4786	5035	5112	5378	5726	5979	6135	6591	6740	6831	6675	7249	7976	8498	8288	8985	11911	11128	10903	10759
1	90	3053	2999	3154	3226	3300	3595	3779	4100	4330	4414	4661	4980	5217	5368	5781	5925	6019	5892	6412	7068	7544	7370	8003	10627	9943	9756
1	91	2249	2474	2475	2612	2681	2753	3011	3178	3463	3673	3760	3987	4276	4494	4639	5009	5146	5239	5139	5604	6190	6619	6478	7047	9373	8783
1	92	1866	1780	1998	2006	2125	2189	2257	2480	2629	2878	3067	3154	3359	3618	3816	3952	4280	4408	4498	4422	4833	5349	5732	5620	6125	8161
1	93	1401	1439	1403	1581	1593	1695	1753	1816	2005	2136	2350	2518	2602	2784	3012	3190	3315	3601	3719	3805	3749	4107	4556	4893	4807	5249
1	94	985	1050	1105	1081	1223	1238	1323	1375	1431	1589	1702	1883	2029	2108	2267	2464	2621	2734	2980	3086	3166	3127	3435	3819	4111	4047
1	95	487	716	784	828	813	924	939	1009	1054	1103	1231	1327	1477	1602	1674	1810	1978	2114	2214	2421	2515	2588	2563	2823	3146	3395
1	96	324	343	519	571	605	596	681	695	751	789	831	933	1012	1134	1238	1303	1417	1557	1672	1759	1931	2012	2077	2063	2278	2546
1	97	235	221	242	367	405	431	426	489	502	546	577	611	691	755	852	937	993	1087	1202	1297	1371	1511	1580	1636	1630	1805
1	98	140	155	151	166	252	279	298	296	342	353	386	411	438	499	550	625	693	740	816	908	985	1046	1158	1216	1263	1262
1	99	105	89	102	100	110	168	187	200	200	232	241	266	285	306	351	390	447	500	539	598	670	731	781	868	915	954
1	100	65	64	57	65	64	71	108	121	130	131	153	159	177	191	207	240	269	311	351	382	427	482	529	569	635	672
1	101	34	38	39	35	40	39	44	67	75	81	82	97	101	114	124	135	158	179	210	239	263	296	337	372	403	452
1	102	18	19	22	23	20	23	23	26	40	45	49	50	59	62	71	77	85	101	115	137	157	175	199	228	254	277
1	103	10	9	10	12	13	11	13	13	15	23	26	28	29	34	36	42	46	52	62	71	86	100	113	129	150	168
1	104	4	5	5	5	6	7	6	7	7	8	12	14	15	16	19	20	24	26	30	37	42	52	61	70	81	95
1	105 - 109	2	3	3	3	3	4	5	5	6	6	7	9	11	12	13	16	19	22	25	28	35	42	52	64	76	91
1	110 and over	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
